freq_Hz,S_ext,S_self,S_total
1.0,0.0007832931411817235,0.00014239026359488536,0.000770118010016993
1.5,0.0007925940192276612,0.00014625135424151367,0.0007786596075829967
2.0,0.0008237910100018745,0.0001522795365708361,0.0008094820079326449
2.5,0.000860894069594917,0.00016186596937515217,0.0008450973727363129
3.0,0.0009537166521144599,0.0001827365566009191,0.0009359502073242136
3.5,0.0011004950697868407,0.0002171981543672467,0.0010781621706430458
4.0,0.0014000946242234038,0.0002847034525208806,0.0013707624678061048
4.5,0.0024440699495968353,0.0005212964308232512,0.0023868533687740716
5.0,0.015545023796674174,0.003351703614338441,0.015177869775491347
5.5,0.1269186299663845,0.02995908154027775,0.1231428134339261
6.0,0.0034947436394037325,0.0007526518195023432,0.0034092746547406023
6.5,0.0015599876370485507,0.00033415936054224504,0.001523718097804033
7.0,0.0010684705907765286,0.0002223025749030202,0.0010427880604923572
7.5,0.0009048546274120371,0.00018527137448229463,0.0008856420325760835
8.0,0.0008654702207267805,0.00017282353782511824,0.0008463694160691481
8.5,0.0007973513083894176,0.00016025657538748216,0.0007809868346510025
9.0,0.0008070329508620872,0.00016158052269589672,0.0007890030639301874
9.5,0.0008787636296456077,0.0001767463488894535,0.0008607260652024889
10.0,0.0011700775202197794,0.00023832387304202797,0.0011454576376278061
10.5,0.059714829079303026,0.012439979634215486,0.058400538117459454
11.0,0.010674803841563737,0.0023377963226320925,0.010399706383398906
11.5,0.0006387755910103906,0.0001469556071326585,0.0006215654362283873
12.0,0.0005623581121202846,0.00012511069504240687,0.0005477910756247163
12.5,0.0005601697957142782,0.00012430130996985447,0.0005459848639550914
13.0,0.000565485361758719,0.00012621152265566694,0.0005511580185934229
13.5,0.0005650345759802142,0.00012698313904023733,0.0005505060040716032
14.0,0.000570486982904755,0.0001294884285923256,0.0005555741513339662
14.5,0.000564536969199477,0.00012944849359804213,0.0005494633316462717
15.0,0.0005684068986251863,0.00013177472247712777,0.00055287155487527
