Frequency_Hz,Disp_mm,Acc_peak_mps2
2,10.722152945890972,0.6684455723486
4,11.258503064025449,2.4741613690594497
6,9.482547217203077,4.967422613695899
8,8.194604700733894,8.487518036785
10,6.971839363885768,12.002855098274
12,6.0062787064680165,16.354425429846998
14,5.023014053129179,20.06409929911
16,4.3700858528019175,23.863784558405
18,3.7575012908194196,26.6005534602065
20,3.3424506767632702,31.566364913501
22,3.0153380969071,35.347986101865
24,2.7868607946971093,38.75682289874
26,2.4822851850820307,41.05512638045
28,2.215804680484603,42.39117622789501
30,2.0212259730942597,43.087835573979994
32,1.8023904797723826,44.97111526338
34,1.63122486959745,45.85434377147965
36,1.5371131729246859,46.76961431432
38,1.4528252619092512,48.0082610612245
40,1.2563676977732503,48.886998303308
42,1.1408406304449585,48.860971399730005
44,1.0511342428349342,48.486506338405
46,0.945221779017868,47.336475084484995
48,0.8406786434906066,46.130668671045
50,0.7793542307269438,45.926875295797444
52,0.6674792450123778,42.327110530775
54,0.5950129949670216,40.77685811093501
56,0.5196849230776305,39.88620785831
58,0.486122027202949,40.207412171754996
60,0.45203190106620783,39.772530706759994
62,0.40860461237755735,38.396707264119996
64,0.38336276725263907,37.680045035374995
66,0.36075965131954524,38.1443608299775
68,0.36064322278455047,39.820539366332454
70,0.3544913324640486,41.780185767590005
